id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1283736,167516,1258,1.898,0,49.0,,,,,
1283737,167516,1104,1340.0,0,49.0,,,,,
1283738,167516,1106,401.0,0,49.0,,,,,
1283739,167516,1293,1.445,0,49.0,,,,,
1283740,167516,1190,96.0,0,49.0,,,,,
1283741,167516,1166,0.665,2,1.0,0.66,0.67,,,
1283742,167516,1177,63.0,2,1.0,57.0,68.0,,,
1283743,167516,1178,2.86,2,1.0,2.33,3.39,,,
1283744,167516,1184,17.9,1,1.0,,,,,
1283745,167516,1185,10.5,1,1.0,,,,,
1283746,167516,1187,14.0,0,,,,,,
1283747,167516,1210,0.074,0,39.0,,,,,
1283748,167516,1211,0.225,0,39.0,,,,,
1283749,167516,1215,0.133,0,39.0,,,,,
1283750,167516,1217,0.304,0,39.0,,,,,
1283751,167516,1107,2.0,0,39.0,,,,,
1283752,167516,1108,0.0,0,39.0,,,,,
1283753,167516,1120,2.0,0,39.0,,,,,
1283754,167516,1122,0.0,0,39.0,,,,,
1283755,167516,1127,1.27,2,1.0,1.12,1.43,,,
1283756,167516,1130,0.0,2,1.0,0.0,0.0,,,
1283757,167516,1131,0.0,2,1.0,0.0,0.0,,,
1283758,167516,1162,0.0,2,1.0,0.0,0.0,,,
1283759,167516,1165,0.499,2,1.0,0.423,0.576,,,
1283760,167516,1003,6.58,2,1.0,6.44,6.72,,,
1283761,167516,1007,2.81,2,1.0,2.63,2.99,,,
1283762,167516,1009,35.51,2,1.0,35.18,35.84,,,
1283763,167516,1012,0.0,2,1.0,0.0,0.0,,,
1283764,167516,1013,1.35,2,1.0,0.71,1.98,,,
1283765,167516,1018,0.0,0,39.0,,,,,
1283766,167516,1062,1144.0,0,49.0,,,,,
1283767,167516,1075,0.0,2,1.0,0.0,0.0,,,
1283768,167516,1079,2.2,2,1.0,1.9,2.4,,,
1283769,167516,1089,6.04,2,1.0,5.69,6.39,,,
1283770,167516,1090,19.0,2,1.0,18.0,19.0,,,
1283771,167516,1091,388.0,2,1.0,373.0,403.0,,,
1283772,167516,1093,621.0,2,1.0,555.0,687.0,,,
1283773,167516,1098,0.04,2,1.0,0.02,0.06,,,
1283774,167516,1101,0.215,2,1.0,0.201,0.228,,,
1283775,167516,1105,401.0,2,1.0,191.0,610.0,,,
1283776,167516,1261,0.0,2,1.0,0.0,0.0,,,
1283777,167516,1263,0.0,2,1.0,0.0,0.0,,,
1283778,167516,1264,0.021,2,1.0,0.021,0.022,,,
1283779,167516,1272,0.007,0,39.0,,,,,
1283780,167516,1273,0.03,2,1.0,0.029,0.031,,,
1283781,167516,1274,0.0,2,1.0,0.0,0.0,,,
1283782,167516,1275,0.022,2,1.0,0.016,0.028,,,
1283783,167516,1278,0.012,0,39.0,,,,,
1283784,167516,1280,0.0,0,39.0,,,,,
1283785,167516,1300,0.01,2,1.0,0.01,0.011,,,
1283786,167516,1323,0.0,2,1.0,0.0,0.0,,,
1283787,167516,1333,0.0,2,1.0,0.0,0.0,,,
1283788,167516,1218,0.154,0,39.0,,,,,
1283789,167516,1222,0.249,0,39.0,,,,,
1283790,167516,1224,1.614,0,39.0,,,,,
1283791,167516,1225,0.214,0,39.0,,,,,
1283792,167516,1226,0.559,0,39.0,,,,,
1283793,167516,1246,2.7,0,39.0,,,,,
1283794,167516,1253,15.0,2,1.0,7.0,24.0,,,
1283795,167516,1299,0.0,2,1.0,0.0,0.0,,,
1283796,167516,1313,0.0,2,1.0,0.0,0.0,,,
1283797,167516,1321,0.0,2,1.0,0.0,0.0,,,
1283798,167516,1325,0.0,2,1.0,0.0,0.0,,,
1283799,167516,1219,0.326,0,39.0,,,,,
1283800,167516,1220,0.282,0,39.0,,,,,
1283801,167516,1221,0.143,0,39.0,,,,,
1283802,167516,1223,0.406,0,39.0,,,,,
1283803,167516,1227,0.347,0,39.0,,,,,
1283804,167516,1242,0.0,0,39.0,,,,,
1283805,167516,1259,0.005,0,39.0,,,,,
1283806,167516,1260,0.003,0,39.0,,,,,
1283807,167516,1262,0.0,2,1.0,0.0,0.0,,,
1283808,167516,1265,1.025,2,1.0,0.933,1.117,,,
1283809,167516,1266,0.772,2,1.0,0.763,0.781,,,
1283810,167516,1267,0.031,2,1.0,0.031,0.032,,,
1283811,167516,1268,4.469,2,1.0,3.75,5.188,,,
1283812,167516,1269,1.414,2,1.0,1.145,1.684,,,
1283813,167516,1270,0.0,0,,,,,,
1283814,167516,1271,0.009,2,1.0,0.007,0.011,,,
1283815,167516,1276,0.002,0,39.0,,,,,
1283816,167516,1277,0.039,2,1.0,0.038,0.041,,,
1283817,167516,1279,0.0,0,39.0,,,,,
1283818,167516,1292,4.53,0,49.0,,,,,
1283819,167516,1008,273.0,0,49.0,,,,,
1283820,167516,1010,2.67,2,1.0,2.38,2.95,,,
